3/27/95

IOWA
Population of Counties by Decennial Census: 1900 to 1990
Compiled and edited by Richard L. Forstall
                       Population Division 
                       US Bureau of the Census
                       Washington, DC  20233

Please see file, 1900-90.doc for explanatory notes and documentation.

 FIPS      1990      1980      1970      1960
00000 248709873 226545805 203211926 179323175 United States

19000   2776755   2913808   2824376   2757537 Iowa
19001      8409      9509      9487     10893 Adair County
19003      4866      5731      6322      7468 Adams County
19005     13855     15108     14968     15982 Allamakee County
19007     13743     15511     15007     16015 Appanoose County
19009      7334      8559      9595     10919 Audubon County
19011     22429     23649     22885     23422 Benton County
19013    123798    137961    132916    122482 Black Hawk County
19015     25186     26184     26470     28037 Boone County
19017     22813     24820     22737     21108 Bremer County
19019     20844     22900     21746     22293 Buchanan County
19021     19965     20774     20693     21189 Buena Vista County
19023     15731     17668     16953     17467 Butler County
19025     11508     13542     14287     15923 Calhoun County
19027     21423     22951     22912     23431 Carroll County
19029     15128     16932     17007     17919 Cass County
19031     17381     18635     17655     17791 Cedar County
19033     46733     48458     49335     49894 Cerro Gordo County
19035     14098     16238     17269     18598 Cherokee County
19037     13295     15437     14969     15034 Chickasaw County
19039      8287      8612      7581      8222 Clarke County
19041     17585     19576     18464     18504 Clay County
19043     19054     21098     20606     21962 Clayton County
19045     51040     57122     56749     55060 Clinton County
19047     16775     18935     18780     18569 Crawford County
19049     29755     29513     26085     24123 Dallas County
19051      8312      9104      8207      9199 Davis County
19053      8338      9794      9737     10539 Decatur County
19055     18035     18933     18770     18483 Delaware County
19057     42614     46203     46982     44605 Des Moines County
19059     14909     15629     12565     12574 Dickinson County
19061     86403     93745     90609     80048 Dubuque County
19063     11569     13336     14009     14871 Emmet County
19065     21843     25488     26898     28581 Fayette County
19067     17058     19597     19860     21102 Floyd County
19069     11364     13036     13255     15472 Franklin County
19071      8226      9401      9282     10282 Fremont County
19073     10045     12119     12716     14379 Greene County
19075     12029     14366     14119     14132 Grundy County
19077     10935     11983     12243     13607 Guthrie County
19079     16071     17862     18383     20032 Hamilton County
19081     12638     13833     13227     14604 Hancock County
19083     19094     21776     22248     22533 Hardin County
19085     14730     16348     16240     17600 Harrison County
19087     19226     18890     18114     18187 Henry County
19089      9809     11114     11442     12734 Howard County
19091     10756     12246     12519     13156 Humboldt County
19093      8365      8908      9190     10269 Ida County
19095     14630     15429     15419     16396 Iowa County
19097     19950     22503     20839     20754 Jackson County
19099     34795     36425     35425     35282 Jasper County
19101     16310     16316     15774     15818 Jefferson County
19103     96119     81717     72127     53663 Johnson County
19105     19444     20401     19868     20693 Jones County
19107     11624     12921     13943     15492 Keokuk County
19109     18591     21891     22937     25314 Kossuth County
19111     38687     43106     42996     44207 Lee County
19113    168767    169775    163213    136899 Linn County
19115     11592     12055     10682     10290 Louisa County
19117      9070     10313     10163     10923 Lucas County
19119     11952     12896     13340     14468 Lyon County
19121     12483     12597     11558     12295 Madison County
19123     21522     22867     22177     23602 Mahaska County
19125     30001     29669     26352     25886 Marion County
19127     38276     41652     41076     37984 Marshall County
19129     13202     13406     11606     13050 Mills County
19131     10928     12329     13108     14043 Mitchell County
19133     10034     11692     12069     13916 Monona County
19135      8114      9209      9357     10463 Monroe County
19137     12076     13413     12781     14467 Montgomery County
19139     39907     40436     37181     33840 Muscatine County
19141     15444     16972     17522     18840 O'Brien County
19143      7267      8371      8555     10064 Osceola County
19145     16870     19063     18507     21023 Page County
19147     10669     12721     13289     14736 Palo Alto County
19149     23388     24743     24312     23906 Plymouth County
19151      9525     11369     12729     14234 Pocahontas County
19153    327140    303170    286101    266315 Polk County
19155     82628     86561     86991     83102 Pottawattami County
19157     19033     19306     18803     19300 Poweshiek County
19159      5420      6112      6373      7910 Ringgold County
19161     12324     14118     15573     17007 Sac County
19163    150979    160022    142687    119067 Scott County
19165     13230     15043     15528     15825 Shelby County
19167     29903     30813     27996     26375 Sioux County
19169     74252     72326     62783     49327 Story County
19171     17419     19533     20147     21413 Tama County
19173      7114      8353      8790     10288 Taylor County
19175     12750     13858     13557     13712 Union County
19177      7676      8626      8643      9778 Van Buren County
19179     35687     40241     42149     46126 Wapello County
19181     36033     34878     27432     20829 Warren County
19183     19612     20141     18967     19406 Washington County
19185      7067      8199      8405      9800 Wayne County
19187     40342     45953     48391     47810 Webster County
19189     12122     13010     12990     13099 Winnebago County
19191     20847     21876     21758     21651 Winneshiek County
19193     98276    100884    103052    107849 Woodbury County
19195      7991      9075      8968     10259 Worth County
19197     14269     16319     17294     19447 Wright County

 FIPS      1950      1940      1930      1920
00000 151325798 132164569 123202624 106021537 United States

19000   2621073   2538268   2470939   2404021 Iowa
19001     12292     13196     13891     14259 Adair County
19003      8753     10156     10437     10521 Adams County
19005     16351     17184     16328     17285 Allamakee County
19007     19683     24245     24835     30535 Appanoose County
19009     11579     11790     12264     12520 Audubon County
19011     22656     22879     22851     24080 Benton County
